rect,N,exactArea,estArea,relError,absError
Wider,100,0.944517,0.8575,0.0921287,0.0870172
Wider,600,0.944517,0.67375,0.286673,0.270767
Wider,1100,0.944517,1.11364,0.179054,0.169119
Wider,1600,0.944517,0.987656,0.0456731,0.0431391
Wider,2100,0.944517,0.968333,0.0252152,0.0238161
Wider,2600,0.944517,0.956442,0.0126256,0.0119251
Wider,3100,0.944517,0.940484,0.00427024,0.00403331
Wider,3600,0.944517,0.932361,0.0128701,0.0121561
Wider,4100,0.944517,0.935183,0.00988257,0.00933426
Wider,4600,0.944517,0.987989,0.0460256,0.0434719
Wider,5100,0.944517,0.924755,0.0209232,0.0197623
Wider,5600,0.944517,0.98875,0.0468311,0.0442328
Wider,6100,0.944517,0.98,0.0375671,0.0354828
Wider,6600,0.944517,0.968864,0.0257766,0.0243465
Wider,7100,0.944517,1.01106,0.0704478,0.0665392
Wider,7600,0.944517,0.975164,0.0324476,0.0306473
Wider,8100,0.944517,1.00873,0.0679896,0.0642174
Wider,8600,0.944517,0.928721,0.0167242,0.0157963
Wider,9100,0.944517,0.9275,0.0180168,0.0170172
Wider,9600,0.944517,0.950651,0.00649417,0.00613386
Wider,10100,0.944517,0.914505,0.0317752,0.0300122
Wider,10600,0.944517,0.934929,0.0101512,0.00958794
Wider,11100,0.944517,0.947995,0.00368263,0.00347831
Wider,11600,0.944517,0.945151,0.0006709,0.000633676
Wider,12100,0.944517,0.944566,5.1804e-05,4.89298e-05
Wider,12600,0.944517,0.945972,0.00154051,0.00145504
Wider,13100,0.944517,0.93792,0.00698488,0.00659734
Wider,13600,0.944517,1.00432,0.0633156,0.0598027
Wider,14100,0.944517,0.976525,0.0338878,0.0320076
Wider,14600,0.944517,0.951473,0.00736399,0.00695542
Wider,15100,0.944517,0.941871,0.00280178,0.00264632
Wider,15600,0.944517,0.95016,0.00597456,0.00564307
Wider,16100,0.944517,0.952609,0.00856682,0.00809151
Wider,16600,0.944517,0.936461,0.00852959,0.00805634
Wider,17100,0.944517,0.977851,0.0352918,0.0333337
Wider,17600,0.944517,0.929886,0.0154903,0.0146308
Wider,18100,0.944517,0.97797,0.0354175,0.0334524
Wider,18600,0.944517,0.959583,0.0159512,0.0150661
Wider,19100,0.944517,0.933181,0.0120025,0.0113366
Wider,19600,0.944517,0.940625,0.00412082,0.00389219
Wider,20100,0.944517,0.903818,0.0430895,0.0406988
Wider,20600,0.944517,0.969296,0.0262345,0.0247789
Wider,21100,0.944517,0.96955,0.026503,0.0250326
Wider,21600,0.944517,0.924988,0.0206759,0.0195288
Wider,22100,0.944517,0.981663,0.0393277,0.0371457
Wider,22600,0.944517,0.950188,0.00600399,0.00567087
Wider,23100,0.944517,0.959848,0.0162319,0.0153313
Wider,23600,0.944517,0.976367,0.0337202,0.0318493
Wider,24100,0.944517,0.911888,0.0345459,0.0326292
Wider,24600,0.944517,0.957093,0.0133151,0.0125763
Wider,25100,0.944517,0.904353,0.0425239,0.0401646
Wider,25600,0.944517,0.936455,0.00853569,0.00806211
Wider,26100,0.944517,0.986102,0.0440271,0.0415843
Wider,26600,0.944517,0.944539,2.3597e-05,2.22878e-05
Wider,27100,0.944517,0.965083,0.0217739,0.0205658
Wider,27600,0.944517,0.923632,0.0221118,0.0208849
Wider,28100,0.944517,0.957331,0.0135665,0.0128138
Wider,28600,0.944517,0.956014,0.0121721,0.0114968
Wider,29100,0.944517,0.953058,0.00904296,0.00854123
Wider,29600,0.944517,0.933649,0.011507,0.0108685
Wider,30100,0.944517,0.94907,0.00482001,0.00455258
Wider,30600,0.944517,0.94277,0.00185023,0.00174758
Wider,31100,0.944517,0.973698,0.0308947,0.0291806
Wider,31600,0.944517,0.97496,0.0322316,0.0304433
Wider,32100,0.944517,0.943746,0.000816375,0.00077108
Wider,32600,0.944517,0.925514,0.0201197,0.0190034
Wider,33100,0.944517,0.921156,0.0247339,0.0233616
Wider,33600,0.944517,0.9625,0.0190392,0.0179828
Wider,34100,0.944517,0.930066,0.0153001,0.0144512
Wider,34600,0.944517,0.941055,0.00366565,0.00346227
Wider,35100,0.944517,0.917877,0.0282046,0.0266397
Wider,35600,0.944517,0.984473,0.0423032,0.0399561
Wider,36100,0.944517,0.946406,0.00199957,0.00188863
Wider,36600,0.944517,0.954563,0.0106358,0.0100457
Wider,37100,0.944517,0.96217,0.0186896,0.0176526
Wider,37600,0.944517,0.94742,0.00307356,0.00290303
Wider,38100,0.944517,0.977428,0.0348439,0.0329106
Wider,38600,0.944517,0.929223,0.0161928,0.0152944
Wider,39100,0.944517,0.957129,0.0133528,0.012612
Wider,39600,0.944517,0.937311,0.00762991,0.00720658
Wider,40100,0.944517,0.910349,0.0361752,0.0341681
Wider,40600,0.944517,0.91875,0.0272808,0.0257672
Wider,41100,0.944517,0.919793,0.0261763,0.024724
